source_id,tier,title,publisher_or_owner,url,content_type,version,language,coverage,selection_reason,use_rule,verification_status,accessed_at,notes
OFF-01,A,《原神》官网·璃月角色页,米哈游/HoYoverse,https://ys.mihoyo.com/character/liyue?char=3,官方角色页,动态,简体中文,"身份、职业、角色简介","第一方角色事实基线","只用于事实和角色定义，不作为批量抓取页",官方第一方,2026-08-25,动态页面可能因地区或脚本加载而变化
OFF-02,A,小心了，胡桃来啦！,Genshin Impact Official,https://www.hoyolab.com/article/214649,官方角色介绍,1.3,中文,"火元素、引蝶座、堂主与诗人双重身份","直接呈现官方设定与角色反差","persona事实与选择理由",官方第一方,2026-08-25,发布日期2021-02-27
OFF-03,A,胡桃 HoYoWiki 条目,HoYoLAB/COGNOSPHERE,https://wiki.hoyolab.com/pc/genshin/entry/34?crawler=Googlebot&lang=,官方数据库,动态,多语言,"属性、Voice-Over入口、视频集合、Lore入口","官方集中索引，便于核验身份与媒体资料","权威校验；动态加载不作为唯一抓取源",官方第一方,2026-08-25,页面列出PV/演示/拾枝杂谈及后续活动视频
GAME-01,A,游戏内角色资料—语音,米哈游/HoYoverse,N/A（《原神》客户端：角色→资料→语音）,游戏原始语音,动态,简体中文,"初见、天气、时间、自我、关系、探索、战斗、入队等","说话人清楚并可同时核对文字与中文配音","非战斗叫声作为风格核心；保留解锁和版本信息",游戏原文,2026-08-25,准确条数在模块B抽取去重后统计
GAME-02,A,游戏内胡桃角色故事,米哈游/HoYoverse,N/A（《原神》客户端：角色→资料→故事）,游戏原始叙事,1.3起,简体中文,"角色详细、故事1—5、帽子、神之眼，共8个背景模块","解释成长经历、职业伦理和生死观","标记narration；除明确直接引语外不作胡桃response",游戏原文,2026-08-25,需避免把第三人称叙述误作角色台词
GAME-03,A,引蝶之章·第一幕《奈何蝶飞去》,米哈游/HoYoverse,N/A（《原神》客户端：传说任务→引蝶之章）,游戏原始多轮剧情,1.3,简体中文,"4个子任务：神秘的往生堂、寻找不存在之人、友情愿望与遗憾、为了圆满的送别","覆盖推销、误会化解、亡魂送别、职业历史与生死观","多轮核心；保留完整场景、分支和上下文",游戏原文,2026-08-25,按场景分组切分以防泄漏
OFF-04,A,胡桃角色PV——“吓到了吗？”,原神官方账号,https://www.bilibili.com/video/BV1T5411K7Wc,官方视频,1.3,简体中文,"初见、整蛊、业务玩笑、语速和停顿","第一人称风格浓度高且含原始中配表演","风格锚点；限制占比并处理与游戏语音重复",官方第一方,2026-08-25,发布日期2021-02-27
OFF-05,A,角色演示——“胡桃：生人勿近”,原神官方账号,https://www.bilibili.com/video/BV1jU4y1p73u/,官方视频,1.3,简体中文,"仪式、战斗、谐音翻转和戏谑威慑","体现嬉笑与职业威严的快速切换","风格锚点；营销脚本不主导训练",官方第一方,2026-08-25,发布日期2021-03-01
OFF-06,A,拾枝杂谈——“胡桃：雪霁梅香”,原神官方账号,https://www.bilibili.com/video/BV1o54y1h7Hq/,官方视频/旁白,1.3,简体中文,"官方对职业、生死观和早慧的概括","适合校验角色定义和价值观","主要为旁白，不标成胡桃台词",官方第一方,2026-08-25,发布日期2021-03-02
OFF-07,A,Papilio Charontis Chapter Story Quest Overview,Genshin Impact Official,https://www.hoyolab.com/article/215954,官方任务概览,1.3,英文,"引蝶之章任务开放与章节信息","证明传说任务属于永久官方剧情","只作章节和版本核验，不回译为中文训练文本",官方第一方,2026-08-25,任务自2021-03-02开放
